frame,modelo_1,modelo_2
0,14.9,14.5
1,15.5,14.5
2,16.3,15.3
3,17.5,16.4
4,19.2,17.5
5,20.5,19.3
6,22.0,21.2
7,23.1,22.8
8,23.8,23.9
9,24.2,24.4
10,23.9,24.3
11,23.2,23.6
12,22.3,22.3
13,21.3,20.9
14,19.8,19.5
15,18.6,18.3
16,17.6,17.3
17,17.0,16.9
18,16.5,16.8
19,16.6,17.1
20,17.0,18.0
21,17.9,19.0
22,18.9,20.2
23,20.0,21.5
24,21.2,22.6
25,22.0,23.3
26,22.8,23.5
27,23.1,23.6
28,23.3,23.5
29,23.0,22.8
30,22.4,21.6
31,21.3,20.5
32,20.2,19.5
33,19.2,18.4
34,18.5,17.7
35,17.8,17.6
36,17.3,17.7
37,17.2,18.0
38,17.5,18.6
39,18.0,19.5
40,18.8,20.5
41,19.7,21.4
42,20.5,22.2
43,21.3,22.6
44,21.9,22.8
45,22.3,22.7
46,22.5,22.6
47,22.4,22.0
48,22.1,21.2
49,21.6,20.3
50,21.0,19.6
51,20.2,19.0
52,19.5,18.7
53,18.9,18.5
54,18.4,18.5
55,18.1,18.7
56,18.0,19.1
57,18.2,19.8
58,18.5,20.5
59,19.0,21.1
60,19.6,21.6
62,20.8,21.9
64,21.7,22.0
66,21.9,21.6
68,21.4,20.5
70,20.5,19.5
72,19.5,19.2
74,18.8,19.3
76,18.6,19.9
78,19.2,20.8
80,20.0,21.2
84,21.4,21.3
90,20.5,20.6
96,18.9,19.7
100,20.1,21.0
101,,21.1
