idUsuario,artista,sexo,pais
13,thom yorke,m,Austria
13,tom waits,m,Austria
13,the notwist,m,Austria
13,einstürzende neubauten,m,Austria
13,the flaming lips,m,Austria
13,billie holiday,m,Austria
13,the books,m,Austria
14,sonic youth,m,"Korea, Republic of"
14,the fall,m,"Korea, Republic of"
14,mogwai,m,"Korea, Republic of"
14,the velvet underground,m,"Korea, Republic of"
14,stereolab,m,"Korea, Republic of"
14,my bloody valentine,m,"Korea, Republic of"
14,the radio dept.,m,"Korea, Republic of"
14,the kinks,m,"Korea, Republic of"
23,ramones,f,Japan
23,the clash,f,Japan
23,franz ferdinand,f,Japan
23,jamiroquai,f,Japan
23,the rolling stones,f,Japan
23,the who,f,Japan
23,radiohead,f,Japan
23,the kinks,f,Japan
23,mando diao,f,Japan
23,the chemical brothers,f,Japan
23,buzzcocks,f,Japan
23,the pogues,f,Japan
31,jamiroquai,f,Netherlands
31,tori amos,f,Netherlands
31,jazzanova,f,Netherlands
31,radiohead,f,Netherlands
31,st. germain,f,Netherlands
31,marvin gaye,f,Netherlands
31,moloko,f,Netherlands
31,nightmares on wax,f,Netherlands
31,the verve,f,Netherlands
31,nick cave and the bad seeds,f,Netherlands
31,de-phazz,f,Netherlands
31,blonde redhead,f,Netherlands
31,diana krall,f,Netherlands
31,massive attack,f,Netherlands
31,cocorosie,f,Netherlands
31,dave matthews band,f,Netherlands
31,the smiths,f,Netherlands
31,jamie cullum,f,Netherlands
31,joy division,f,Netherlands
31,porcupine tree,f,Netherlands
31,thievery corporation,f,Netherlands
31,róisín murphy,f,Netherlands
33,death cab for cutie,f,Germany
33,tegan and sara,f,Germany
33,kimya dawson,f,Germany
33,die Ärzte,f,Germany
33,jack johnson,f,Germany
33,coldplay,f,Germany
33,the kooks,f,Germany
33,the fray,f,Germany
33,mando diao,f,Germany
33,farin urlaub,f,Germany
33,a fine frenzy,f,Germany
33,die toten hosen,f,Germany
33,deichkind,f,Germany
33,razorlight,f,Germany
33,clueso,f,Germany
33,evanescence,f,Germany
33,linkin park,f,Germany
33,seeed,f,Germany
33,three days grace,f,Germany
33,cute is what we aim for,f,Germany
33,incubus,f,Germany
33,buena vista social club,f,Germany
33,counting crows,f,Germany
33,paolo nutini,f,Germany
33,the strokes,f,Germany
33,keane,f,Germany
33,belle and sebastian,f,Germany
33,adam green,f,Germany
33,story of the year,f,Germany
33,paramore,f,Germany
33,nouvelle vague,f,Germany
33,ok go,f,Germany
33,foo fighters,f,Germany
42,soundtrack,f,Germany
42,groove coverage,f,Germany
42,avril lavigne,f,Germany
42,the rasmus,f,Germany
42,him,f,Germany
42,nightwish,f,Germany
42,as i lay dying,f,Germany
42,in extremo,f,Germany
42,evanescence,f,Germany
43,the knife,f,United Kingdom
43,of montreal,f,United Kingdom
43,john mayer,f,United Kingdom
43,nada surf,f,United Kingdom
43,fleetwood mac,f,United Kingdom
43,josé gonzález,f,United Kingdom
43,blink-182,f,United Kingdom
43,say anything,f,United Kingdom
43,the get up kids,f,United Kingdom
43,camera obscura,f,United Kingdom
43,sufjan stevens,f,United Kingdom
43,kanye west,f,United Kingdom
43,röyksopp,f,United Kingdom
43,dashboard confessional,f,United Kingdom
43,stars,f,United Kingdom
43,the weakerthans,f,United Kingdom
43,kings of convenience,f,United Kingdom
43,van morrison,f,United Kingdom
43,band of horses,f,United Kingdom
43,sia,f,United Kingdom
43,panic at the disco,f,United Kingdom
43,coldplay,f,United Kingdom
43,justin timberlake,f,United Kingdom
43,the hush sound,f,United Kingdom
43,arctic monkeys,f,United Kingdom
43,jeff buckley,f,United Kingdom
43,alkaline trio,f,United Kingdom
43,foo fighters,f,United Kingdom
43,guided by voices,f,United Kingdom
43,anna ternheim,f,United Kingdom
43,death cab for cutie,f,United Kingdom
43,saves the day,f,United Kingdom
43,the killers,f,United Kingdom
43,bon iver,f,United Kingdom
43,fleet foxes,f,United Kingdom
43,the magnetic fields,f,United Kingdom
43,fall out boy,f,United Kingdom
47,pj harvey,m,Italy
47,radiohead,m,Italy
47,zero 7,m,Italy
47,einstürzende neubauten,m,Italy
47,david bowie,m,Italy
47,air,m,Italy
47,t. rex,m,Italy
47,neil young,m,Italy
47,portishead,m,Italy
47,jefferson airplane,m,Italy
47,morcheeba,m,Italy
47,pink martini,m,Italy
47,devendra banhart,m,Italy
47,emilíana torrini,m,Italy
47,johnny cash,m,Italy
47,depeche mode,m,Italy
47,tom waits,m,Italy
47,john coltrane,m,Italy
47,sia,m,Italy
47,nick drake,m,Italy
47,blonde redhead,m,Italy
47,grateful dead,m,Italy
47,bob dylan,m,Italy
47,björk,m,Italy
47,the velvet underground,m,Italy
47,antony and the johnsons,m,Italy
47,kate bush,m,Italy
47,nick cave and the bad seeds,m,Italy
59,the libertines,f,Japan
59,the zombies,f,Japan
59,beirut,f,Japan
59,band of horses,f,Japan
59,arctic monkeys,f,Japan
59,adam green,f,Japan
59,the strokes,f,Japan
63,ministry,m,Finland
63,turbonegro,m,Finland
63,paradise lost,m,Finland
63,katatonia,m,Finland
63,pj harvey,m,Finland
63,deftones,m,Finland
63,parkway drive,m,Finland
63,danny elfman,m,Finland
63,marilyn manson,m,Finland
63,amorphis,m,Finland
63,the dillinger escape plan,m,Finland
63,massive attack,m,Finland
63,opeth,m,Finland
63,sigur rós,m,Finland
63,strapping young lad,m,Finland
63,placebo,m,Finland
63,muse,m,Finland
63,apocalyptica,m,Finland
63,type o negative,m,Finland
63,sentenced,m,Finland
63,beastie boys,m,Finland
63,the birthday massacre,m,Finland
63,garbage,m,Finland
63,misfits,m,Finland
63,system of a down,m,Finland
66,loreena mckennitt,f,United Kingdom
66,garbage,f,United Kingdom
66,joni mitchell,f,United Kingdom
66,amy macdonald,f,United Kingdom
66,sufjan stevens,f,United Kingdom
66,death cab for cutie,f,United Kingdom
66,frou frou,f,United Kingdom
66,a fine frenzy,f,United Kingdom
66,a perfect circle,f,United Kingdom
66,damien rice,f,United Kingdom
66,dido,f,United Kingdom
70,era,m,Mexico
70,avril lavigne,m,Mexico
70,linkin park,m,Mexico
70,hilary duff,m,Mexico
70,the cardigans,m,Mexico
70,the fray,m,Mexico
70,the corrs,m,Mexico
70,lifehouse,m,Mexico
70,paramore,m,Mexico
70,the rasmus,m,Mexico
70,goo goo dolls,m,Mexico
70,snow patrol,m,Mexico
70,the all-american rejects,m,Mexico
70,3 doors down,m,Mexico
70,avenged sevenfold,m,Mexico
70,staind,m,Mexico
70,bon jovi,m,Mexico
70,kt tunstall,m,Mexico
70,u2,m,Mexico
70,pink,m,Mexico
70,coldplay,m,Mexico
70,bryan adams,m,Mexico
70,him,m,Mexico
70,madonna,m,Mexico
70,muse,m,Mexico
70,the cranberries,m,Mexico
70,tenacious d,m,Mexico
70,t.a.t.u.,m,Mexico
70,simple plan,m,Mexico
70,keane,m,Mexico
70,aerosmith,m,Mexico
70,hammerfall,m,Mexico
70,green day,m,Mexico
77,finntroll,m,Uruguay
77,alice in chains,m,Uruguay
77,korpiklaani,m,Uruguay
77,fear factory,m,Uruguay
77,[unknown],m,Uruguay
77,rammstein,m,Uruguay
77,cannibal corpse,m,Uruguay
77,behemoth,m,Uruguay
77,immortal,m,Uruguay
77,pantera,m,Uruguay
77,bloodbath,m,Uruguay
77,the beach boys,m,Uruguay
82,p.o.d.,m,Russian Federation
82,chimaira,m,Russian Federation
82,arch enemy,m,Russian Federation
82,scar symmetry,m,Russian Federation
82,slipknot,m,Russian Federation
82,red hot chili peppers,m,Russian Federation
82,soilwork,m,Russian Federation
82,soulfly,m,Russian Federation
82,lamb of god,m,Russian Federation
82,judas priest,m,Russian Federation
82,megadeth,m,Russian Federation
82,trivium,m,Russian Federation
82,devildriver,m,Russian Federation
82,coldplay,m,Russian Federation
82,sonic syndicate,m,Russian Federation
82,gamma ray,m,Russian Federation
82,helloween,m,Russian Federation
82,sepultura,m,Russian Federation
82,edguy,m,Russian Federation
82,nightwish,m,Russian Federation
82,koЯn,m,Russian Federation
82,machine head,m,Russian Federation
82,eagles,m,Russian Federation
82,lordi,m,Russian Federation
91,vangelis,m,United States
91,kraftwerk,m,United States
91,the beach boys,m,United States
91,enigma,m,United States
91,sade,m,United States
97,animal collective,m,United States
97,philip glass,m,United States
97,queens of the stone age,m,United States
97,devendra banhart,m,United States
97,the rolling stones,m,United States
97,the brian jonestown massacre,m,United States
97,t. rex,m,United States
97,dinosaur jr.,m,United States
97,bob dylan,m,United States
97,sonic youth,m,United States
97,misfits,m,United States
97,the beatles,m,United States
97,the kinks,m,United States
97,johnny cash,m,United States
97,radiohead,m,United States
97,pixies,m,United States
97,the black keys,m,United States
97,tom waits,m,United States
97,ramones,m,United States
97,joy division,m,United States
97,patrick wolf,m,United States
97,the cure,m,United States
97,captain beefheart & his magic band,m,United States
97,mirah,m,United States
97,talking heads,m,United States
97,iggy pop,m,United States
97,the raveonettes,m,United States
97,creedence clearwater revival,m,United States
97,the flaming lips,m,United States
97,armin van buuren,m,United States
97,black rebel motorcycle club,m,United States
97,modest mouse,m,United States
97,the velvet underground,m,United States
97,david bowie,m,United States
97,the smashing pumpkins,m,United States
97,nick cave and the bad seeds,m,United States
97,marilyn manson,m,United States
97,nirvana,m,United States
97,antony and the johnsons,m,United States
97,r.e.m.,m,United States
106,t.i.,f,Sweden
106,john legend,f,Sweden
106,stevie wonder,f,Sweden
106,alicia keys,f,Sweden
106,craig david,f,Sweden
106,james morrison,f,Sweden
106,chris brown,f,Sweden
106,ne-yo,f,Sweden
106,john mayer,f,Sweden
106,chamillionaire,f,Sweden
106,mariah carey,f,Sweden
106,maroon 5,f,Sweden
106,50 cent,f,Sweden
106,lil wayne,f,Sweden
106,akon,f,Sweden
106,gavin degraw,f,Sweden
106,rihanna,f,Sweden
106,usher,f,Sweden
110,atmosphere,m,Sweden
110,wu-tang clan,m,Sweden
110,notorious b.i.g.,m,Sweden
110,dj shadow,m,Sweden
110,mf doom,m,Sweden
110,a tribe called quest,m,Sweden
110,the roots,m,Sweden
110,massive attack,m,Sweden
110,bonobo,m,Sweden
110,aesop rock,m,Sweden
110,nas,m,Sweden
110,bob marley & the wailers,m,Sweden
110,burial,m,Sweden
110,gentleman,m,Sweden
110,madlib,m,Sweden
110,ratatat,m,Sweden
110,j dilla,m,Sweden
110,the jimi hendrix experience,m,Sweden
110,gang starr,m,Sweden
110,amon tobin,m,Sweden
110,cunninlynguists,m,Sweden
110,public enemy,m,Sweden
110,ghostface,m,Sweden
110,roots manuva,m,Sweden
110,de la soul,m,Sweden
110,jedi mind tricks,m,Sweden
110,jurassic 5,m,Sweden
110,rjd2,m,Sweden
110,talib kweli,m,Sweden
110,the cinematic orchestra,m,Sweden
110,aphex twin,m,Sweden
110,mobb deep,m,Sweden
110,mos def,m,Sweden
110,2pac,m,Sweden
112,frank zappa,m,France
112,cat power,m,France
112,johnny cash,m,France
112,simon & garfunkel,m,France
112,ennio morricone,m,France
112,the beatles,m,France
112,tom waits,m,France
112,serge gainsbourg,m,France
112,dead kennedys,m,France
112,the who,m,France
112,john lennon,m,France
112,elvis presley,m,France
112,portishead,m,France
112,venetian snares,m,France
121,ulver,f,Lithuania
121,tom waits,f,Lithuania
121,boards of canada,f,Lithuania
121,morphine,f,Lithuania
121,king crimson,f,Lithuania
121,moby,f,Lithuania
121,depeche mode,f,Lithuania
121,the future sound of london,f,Lithuania
121,agalloch,f,Lithuania
121,joy division,f,Lithuania
129,adele,f,Poland
129,placebo,f,Poland
129,tricky,f,Poland
129,röyksopp,f,Poland
129,amy winehouse,f,Poland
129,manu chao,f,Poland
129,kings of leon,f,Poland
129,mgmt,f,Poland
129,shout out louds,f,Poland
129,alanis morissette,f,Poland
129,morcheeba,f,Poland
129,vampire weekend,f,Poland
129,moloko,f,Poland
129,basement jaxx,f,Poland
129,lamb,f,Poland
129,faithless,f,Poland
129,hey,f,Poland
129,jamiroquai,f,Poland
129,goldfrapp,f,Poland
129,air,f,Poland
129,hooverphonic,f,Poland
129,portishead,f,Poland
129,nelly furtado,f,Poland
129,aerosmith,f,Poland
129,m83,f,Poland
129,pidżama porno,f,Poland
129,pj harvey,f,Poland
129,erykah badu,f,Poland
129,michael jackson,f,Poland
129,the chemical brothers,f,Poland
129,damien rice,f,Poland
129,doves,f,Poland
129,elvis presley,f,Poland
129,franz ferdinand,f,Poland
129,akurat,f,Poland
129,phoenix,f,Poland
129,pink floyd,f,Poland
129,bat for lashes,f,Poland
129,bloc party,f,Poland
129,the offspring,f,Poland
130,ska-p,m,Germany
130,cradle of filth,m,Germany
130,tori amos,m,Germany
130,tiamat,m,Germany
130,roxette,m,Germany
130,shakira,m,Germany
130,sodom,m,Germany
143,nightwish,m,Mexico
143,michael jackson,m,Mexico
143,shakira,m,Mexico
143,era,m,Mexico
143,toto,m,Mexico
143,evanescence,m,Mexico
143,madonna,m,Mexico
143,the cranberries,m,Mexico
143,creed,m,Mexico
143,queen,m,Mexico
143,roxette,m,Mexico
143,billy joel,m,Mexico
143,elton john,m,Mexico
143,abba,m,Mexico
143,dido,m,Mexico
143,green day,m,Mexico
143,phil collins,m,Mexico
143,nirvana,m,Mexico
144,ennio morricone,m,Germany
144,interpol,m,Germany
144,the beatles,m,Germany
144,the last shadow puppets,m,Germany
144,band of horses,m,Germany
144,cocorosie,m,Germany
144,beirut,m,Germany
144,kings of leon,m,Germany
148,the mountain goats,m,Canada
148,otis redding,m,Canada
148,bonnie prince billy,m,Canada
148,creedence clearwater revival,m,Canada
148,al green,m,Canada
148,mogwai,m,Canada
148,nina simone,m,Canada
148,frank sinatra,m,Canada
148,nirvana,m,Canada
148,cat power,m,Canada
148,modest mouse,m,Canada
148,Édith piaf,m,Canada
148,cat stevens,m,Canada
148,interpol,m,Canada
148,philip glass,m,Canada
148,leonard cohen,m,Canada
148,neil young,m,Canada
148,band of horses,m,Canada
148,kanye west,m,Canada
148,the smiths,m,Canada
148,bright eyes,m,Canada
148,okkervil river,m,Canada
148,the national,m,Canada
148,morrissey,m,Canada
154,damian marley,m,Poland
154,matisyahu,m,Poland
154,bob marley,m,Poland
154,snoop dogg,m,Poland
154,the prodigy,m,Poland
154,erykah badu,m,Poland
154,mgmt,m,Poland
154,50 cent,m,Poland
159,black rebel motorcycle club,m,United States
159,the white stripes,m,United States
159,amon tobin,m,United States
159,ac/dc,m,United States
159,the brian jonestown massacre,m,United States
159,yeah yeah yeahs,m,United States
159,andrew bird,m,United States
159,ryan adams,m,United States
159,arctic monkeys,m,United States
159,misfits,m,United States
159,arcade fire,m,United States
159,cat power,m,United States
159,mew,m,United States
159,the new pornographers,m,United States
159,girl talk,m,United States
159,booka shade,m,United States
159,trentemøller,m,United States
159,the kills,m,United States
163,explosions in the sky,f,United States
163,rilo kiley,f,United States
163,jack johnson,f,United States
163,the all-american rejects,f,United States
163,my chemical romance,f,United States
163,radiohead,f,United States
163,the decemberists,f,United States
163,evanescence,f,United States
163,animal collective,f,United States
163,death cab for cutie,f,United States
163,fleet foxes,f,United States
163,red.jumpsuit.apparatus,f,United States
163,3 doors down,f,United States
163,jimmy eat world,f,United States
163,coldplay,f,United States
163,the faint,f,United States
163,dashboard confessional,f,United States
163,moby,f,United States
163,johnny cash,f,United States
163,311,f,United States
163,foo fighters,f,United States
163,belle and sebastian,f,United States
163,breaking benjamin,f,United States
163,neutral milk hotel,f,United States
163,the shins,f,United States
163,justin timberlake,f,United States
163,relient k,f,United States
163,sarah mclachlan,f,United States
163,sufjan stevens,f,United States
163,the rasmus,f,United States
163,the cure,f,United States
163,afi,f,United States
163,creedence clearwater revival,f,United States
163,john williams,f,United States
163,ok go,f,United States
163,fiona apple,f,United States
170,radiohead,m,France
170,lcd soundsystem,m,France
170,sigur rós,m,France
170,yann tiersen,m,France
170,feist,m,France
170,justice,m,France
170,pink floyd,m,France
170,antony and the johnsons,m,France
170,digitalism,m,France
170,clap your hands say yeah,m,France
170,klaxons,m,France
170,arcade fire,m,France
170,babyshambles,m,France
170,josé gonzález,m,France
170,amon tobin,m,France
170,janis joplin,m,France
170,mgmt,m,France
170,the rolling stones,m,France
170,the hives,m,France
170,damien rice,m,France
170,boards of canada,m,France
170,rjd2,m,France
170,cansei de ser sexy,m,France
170,sage francis,m,France
170,simian mobile disco,m,France
170,the dandy warhols,m,France
170,the cinematic orchestra,m,France
170,the libertines,m,France
170,jay-z,m,France
170,amy winehouse,m,France
190,elvis presley,m,Ukraine
190,bryan adams,m,Ukraine
190,moby,m,Ukraine
190,air,m,Ukraine
190,lynyrd skynyrd,m,Ukraine
190,new order,m,Ukraine
190,the cranberries,m,Ukraine
190,manu chao,m,Ukraine
190,r.e.m.,m,Ukraine
190,counting crows,m,Ukraine
190,aerosmith,m,Ukraine
190,nickelback,m,Ukraine
190,jefferson airplane,m,Ukraine
190,aretha franklin,m,Ukraine
190,oasis,m,Ukraine
190,creedence clearwater revival,m,Ukraine
190,depeche mode,m,Ukraine
190,david bowie,m,Ukraine
190,michael jackson,m,Ukraine
198,air,f,"Virgin Islands, U.s."
198,portishead,f,"Virgin Islands, U.s."
198,blonde redhead,f,"Virgin Islands, U.s."
198,massive attack,f,"Virgin Islands, U.s."
198,daft punk,f,"Virgin Islands, U.s."
198,tricky,f,"Virgin Islands, U.s."
198,lamb,f,"Virgin Islands, U.s."
198,morcheeba,f,"Virgin Islands, U.s."
198,radiohead,f,"Virgin Islands, U.s."
198,garbage,f,"Virgin Islands, U.s."
198,clint mansell,f,"Virgin Islands, U.s."
198,thomas newman,f,"Virgin Islands, U.s."
198,red hot chili peppers,f,"Virgin Islands, U.s."
198,madonna,f,"Virgin Islands, U.s."
198,paolo nutini,f,"Virgin Islands, U.s."
198,marilyn manson,f,"Virgin Islands, U.s."
198,hooverphonic,f,"Virgin Islands, U.s."
198,the white stripes,f,"Virgin Islands, U.s."
198,the doors,f,"Virgin Islands, U.s."
198,múm,f,"Virgin Islands, U.s."
198,faith no more,f,"Virgin Islands, U.s."
198,björk,f,"Virgin Islands, U.s."
198,akira yamaoka,f,"Virgin Islands, U.s."
198,the cure,f,"Virgin Islands, U.s."
198,n*e*r*d,f,"Virgin Islands, U.s."
200,arctic monkeys,m,Mexico
200,the beatles,m,Mexico
200,the killers,m,Mexico
200,the kooks,m,Mexico
200,the last shadow puppets,m,Mexico
200,oasis,m,Mexico
200,the doors,m,Mexico
200,the strokes,m,Mexico
200,jet,m,Mexico
200,kaiser chiefs,m,Mexico
200,nirvana,m,Mexico
200,franz ferdinand,m,Mexico
200,the libertines,m,Mexico
200,muse,m,Mexico
200,red hot chili peppers,m,Mexico
200,the verve,m,Mexico
200,bob dylan,m,Mexico
200,coldplay,m,Mexico
200,modest mouse,m,Mexico
206,jens lekman,m,United States
206,wilco,m,United States
206,stars,m,United States
206,ben folds,m,United States
206,kanye west,m,United States
206,n*e*r*d,m,United States
206,weezer,m,United States
206,lupe fiasco,m,United States
206,girl talk,m,United States
206,of montreal,m,United States
206,al green,m,United States
206,modest mouse,m,United States
206,ben folds five,m,United States
206,the decemberists,m,United States
206,brand new,m,United States
206,ryan adams,m,United States
206,kings of leon,m,United States
206,arcade fire,m,United States
206,panic at the disco,m,United States
206,arctic monkeys,m,United States
206,regina spektor,m,United States
206,bright eyes,m,United States
206,the beatles,m,United States
206,vampire weekend,m,United States
206,jason mraz,m,United States
206,spoon,m,United States
206,mgmt,m,United States
206,rufus wainwright,m,United States
206,death cab for cutie,m,United States
206,sufjan stevens,m,United States
210,diana krall,m,Sweden
210,system of a down,m,Sweden
210,godsmack,m,Sweden
210,kiss,m,Sweden
210,anna ternheim,m,Sweden
210,norah jones,m,Sweden
210,audioslave,m,Sweden
210,wolfgang amadeus mozart,m,Sweden
210,bruce springsteen,m,Sweden
210,the rolling stones,m,Sweden
210,u2,m,Sweden
212,wilco,m,Sweden
212,bon iver,m,Sweden
212,sufjan stevens,m,Sweden
212,kings of convenience,m,Sweden
212,joni mitchell,m,Sweden
212,anna ternheim,m,Sweden
212,miles davis,m,Sweden
212,nina simone,m,Sweden
212,ella fitzgerald,m,Sweden
212,modest mouse,m,Sweden
212,mogwai,m,Sweden
212,devendra banhart,m,Sweden
212,the whitest boy alive,m,Sweden
212,jens lekman,m,Sweden
212,josé gonzález,m,Sweden
212,neil young,m,Sweden
212,the beatles,m,Sweden
212,explosions in the sky,m,Sweden
212,andrew bird,m,Sweden
