id,quesm2,ativcolm2,forum5,forum6,forum7,ativcolm2r,quesm2r,forum8,forum2r,aprovado,quesm1,quesm1r,forum1,forum2,forum3,forum4,ativcolm1,ativcolm1r,forum1r
7,1,1,1,1,1,0,0,1,0,Sim,1,0,1,0,1,1,1,0,0
45,1,1,1,0,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
50,0,1,0,0,0,0,0,0,0,Sim,1,0,0,0,1,0,1,0,0
58,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
67,1,1,1,0,0,0,0,0,0,Não,1,1,1,1,1,1,1,1,1
70,1,1,1,1,1,1,0,1,0,Não,1,0,1,1,0,1,1,0,0
73,1,0,1,1,1,1,0,1,0,Não,1,0,1,1,1,1,1,0,0
77,1,1,0,0,0,0,0,0,0,Não,0,1,0,0,0,0,0,0,0
86,1,1,1,1,1,0,1,1,1,Sim,1,1,1,1,1,1,1,0,0
91,1,1,1,1,1,0,0,1,0,Sim,1,0,0,0,0,1,1,0,0
97,1,1,0,0,0,1,1,0,0,Sim,1,1,1,1,1,1,1,0,1
126,1,1,1,0,0,0,0,1,0,Sim,1,1,1,1,1,1,1,0,0
137,1,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
143,1,0,1,1,0,0,0,1,0,Não,1,0,0,0,0,0,0,0,0
152,0,1,1,1,1,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
198,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
199,1,1,1,1,1,0,1,0,0,Sim,0,1,1,0,0,0,0,1,1
204,1,1,1,1,1,0,0,1,0,Não,1,1,1,1,1,1,0,1,1
218,1,1,1,1,1,0,0,1,0,Sim,1,1,1,1,1,1,1,0,0
222,1,1,1,1,0,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
229,0,0,0,0,0,0,1,0,0,Não,1,1,0,0,0,0,0,0,0
231,1,1,1,1,1,0,1,1,0,Não,1,0,1,1,1,1,1,0,0
232,0,0,0,0,0,0,0,0,0,Não,0,1,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
248,1,0,0,1,1,0,0,1,1,Não,1,0,1,1,1,1,1,0,1
253,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
265,0,0,1,1,1,0,0,0,0,Não,1,1,0,0,0,0,0,0,1
271,0,0,0,0,0,0,1,0,0,Não,0,1,0,1,1,0,0,0,1
285,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
303,1,1,0,1,0,1,0,1,0,Sim,1,1,1,1,1,1,1,0,0
308,1,1,1,0,0,0,0,0,0,Sim,1,0,1,1,1,1,1,0,0
316,1,1,1,1,0,0,0,1,1,Sim,1,0,1,1,1,1,1,0,0
326,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,1,0,0,0,0
330,1,1,0,0,0,0,0,0,0,Não,1,0,0,0,1,1,1,0,0
337,1,1,0,0,0,0,0,0,1,Não,1,1,1,1,1,0,1,0,0
339,0,0,0,0,0,0,0,0,0,Não,0,0,1,0,0,0,1,0,0
396,1,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
409,1,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
415,1,1,0,0,0,0,0,0,0,Sim,1,0,1,1,1,1,0,0,0
484,1,1,1,1,1,0,0,1,0,Sim,1,1,1,1,1,1,1,0,0
487,0,1,0,0,0,1,0,0,0,Sim,0,0,0,0,0,0,1,1,0
492,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
498,1,1,0,0,0,0,1,0,1,Não,1,0,1,1,1,1,1,0,0
504,1,0,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,0,0,0
545,1,0,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
577,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
589,1,1,1,1,1,0,0,1,0,Não,1,1,1,1,1,0,0,1,1
601,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
613,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
622,1,1,1,1,1,0,1,1,1,Não,0,1,1,1,1,1,1,0,1
630,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
640,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
650,1,0,1,1,1,0,0,1,0,Não,1,1,1,1,1,1,1,0,0
652,1,1,0,0,0,0,0,0,0,Sim,1,0,1,1,1,0,1,0,0
658,0,1,0,1,0,1,1,1,0,Não,0,0,1,1,1,1,1,0,0
671,1,1,1,1,0,0,0,1,0,Sim,0,1,1,1,1,1,1,0,0
696,1,0,1,1,1,0,0,1,0,Sim,1,0,1,1,1,0,1,0,1
720,1,1,0,0,0,0,1,1,0,Sim,1,1,1,1,1,1,1,0,0
738,1,0,0,0,0,0,0,1,0,Sim,0,0,1,1,1,1,0,0,0
739,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
742,0,0,1,0,0,0,0,0,0,Não,0,0,1,1,1,0,0,0,0
749,0,0,0,0,0,0,0,0,0,Sim,0,0,1,1,1,1,0,0,0
778,1,1,1,0,1,0,1,0,0,Não,0,1,1,1,1,0,0,0,1
787,1,1,0,0,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
806,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
814,0,1,1,0,1,0,0,0,0,Sim,1,0,1,1,1,1,1,0,0
821,1,1,1,0,1,0,0,0,0,Não,1,1,1,1,1,1,1,0,0
840,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
894,1,1,1,0,0,1,1,0,1,Não,0,1,1,1,1,0,1,1,1
913,0,1,0,0,0,1,1,0,0,Sim,0,1,0,1,0,0,1,1,1
927,1,0,0,0,0,0,0,0,0,Não,0,1,1,1,1,0,0,0,1
931,1,0,0,0,0,0,0,0,0,Não,1,0,1,1,1,1,0,0,0
933,1,1,1,1,1,0,1,1,0,Sim,1,1,1,1,1,1,0,1,1
948,1,1,1,1,1,0,0,1,0,Não,1,1,1,1,1,1,1,0,0
952,0,0,0,0,0,0,0,0,0,Sim,0,0,1,1,0,0,1,0,0
959,1,1,0,1,1,0,0,0,0,Sim,1,1,1,1,1,1,1,1,1
964,0,0,0,0,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
977,1,1,0,1,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
1001,1,1,1,1,0,0,0,0,0,Sim,1,0,1,1,1,1,0,0,0
1011,1,1,1,1,1,1,1,1,0,Não,1,1,1,1,1,1,1,0,1
1020,1,1,1,1,1,0,1,1,1,Não,1,0,1,1,1,1,1,0,0
1040,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1042,1,0,1,1,0,1,1,1,1,Não,1,1,1,1,1,0,0,0,1
1046,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1060,1,0,1,1,1,0,1,0,1,Sim,1,1,1,1,1,1,1,0,0
1066,1,1,0,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
1072,1,1,1,0,0,1,0,1,0,Não,0,1,0,0,0,0,0,1,1
1079,1,1,1,0,1,1,1,0,1,Sim,0,1,1,1,1,1,0,1,1
1085,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,1,1,1,0,0
1086,1,0,0,1,1,0,0,1,0,Sim,1,0,1,1,1,1,0,0,0
1088,1,1,1,1,1,0,0,0,0,Sim,1,0,1,1,1,1,1,0,0
1089,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1094,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
1114,0,0,0,0,0,1,1,0,1,Sim,1,0,1,1,1,1,1,0,0
1118,1,1,1,1,1,0,1,1,0,Não,1,0,1,1,1,1,1,0,0
1119,1,0,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1150,0,0,0,1,0,0,0,0,0,Não,0,0,1,0,0,1,0,0,0
1157,0,1,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,1,0,0
1188,1,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
1214,1,1,1,0,1,0,0,0,0,Não,1,1,1,1,1,1,1,0,0
1221,1,1,1,1,1,0,0,1,0,Sim,0,0,1,1,1,1,1,0,0
1224,0,0,0,0,0,0,0,0,0,Não,1,1,1,0,0,0,0,0,0
1241,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,0,0,0,0
1266,0,1,0,0,0,1,1,0,1,Não,1,0,1,0,1,1,1,0,0
1298,1,1,1,0,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1299,1,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
1317,1,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
1322,1,0,0,0,0,0,0,0,0,Não,0,1,0,0,0,0,0,0,0
1383,1,0,1,1,1,0,1,0,0,Sim,0,1,1,1,0,0,0,1,1
1385,1,1,1,0,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1410,1,1,0,1,1,0,0,1,0,Não,1,1,1,1,1,1,0,0,1
1419,0,0,1,1,0,1,1,1,1,Sim,1,0,1,1,1,1,1,0,0
1420,1,0,0,0,0,0,1,0,0,Sim,0,1,1,1,1,0,0,0,1
1449,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,1,1,1,0,0
1461,1,0,1,0,1,0,0,1,0,Sim,0,1,1,1,1,1,0,1,1
1466,1,1,1,1,1,0,1,0,1,Sim,1,1,1,1,1,1,1,0,0
1471,1,1,1,0,1,0,1,0,0,Sim,1,1,1,1,1,1,1,0,0
1489,1,1,1,1,0,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1494,1,1,0,0,0,0,1,0,0,Não,1,1,0,0,0,0,0,1,1
1495,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1500,0,0,0,0,0,0,0,0,0,Não,1,0,1,0,0,0,1,0,0
1508,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1524,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1540,1,1,0,1,0,0,0,0,0,Não,0,1,1,1,1,1,1,0,0
1548,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
1578,1,1,0,0,0,0,0,0,1,Não,1,0,1,1,1,1,1,0,0
1582,0,0,0,0,0,1,1,0,1,Não,1,0,1,1,1,1,1,0,0
1589,1,1,1,0,0,0,0,0,1,Não,1,0,1,1,1,1,1,0,0
1590,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1610,0,0,0,0,0,1,0,0,1,Sim,0,1,1,1,1,0,1,1,1
1612,1,1,0,0,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
1640,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1644,1,0,1,0,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
1645,1,1,1,0,1,0,0,0,0,Sim,1,0,1,1,1,1,0,0,0
1649,0,0,0,1,0,1,1,0,1,Não,0,1,1,1,1,1,0,1,1
1664,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
1672,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,1,0,0,0,0
1689,0,1,0,1,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
1698,1,1,0,0,0,0,0,0,1,Não,1,0,1,1,1,1,1,0,0
1728,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,1,1,0,0,0
1735,0,1,1,1,1,1,1,0,1,Não,1,0,1,1,1,1,1,1,0
1737,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
1738,0,0,1,0,1,1,1,0,1,Sim,1,0,1,1,0,0,1,0,0
1747,1,1,1,1,1,0,0,1,0,Não,0,1,1,1,1,0,0,1,0
1754,0,0,1,0,1,0,1,1,0,Não,1,0,1,1,1,1,1,0,0
1760,0,0,1,1,0,0,1,0,1,Não,1,1,1,1,1,1,1,1,0
1792,1,1,1,0,1,0,0,0,0,Sim,1,0,1,1,1,1,1,0,0
1798,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
1805,1,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
1806,1,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
1812,0,0,0,0,0,0,1,1,0,Não,1,0,1,1,1,1,1,0,0
1813,0,0,1,1,1,0,0,0,0,Não,1,0,0,0,0,0,0,0,0
1816,1,0,0,1,0,0,0,0,0,Não,0,0,1,1,1,1,1,0,0
1825,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
1834,0,0,0,0,0,0,1,0,0,Não,0,0,0,0,0,0,0,0,0
1857,1,1,1,0,1,0,0,1,0,Sim,1,1,1,1,1,1,1,0,0
1866,1,1,1,0,1,0,0,0,0,Sim,1,0,1,1,1,0,1,0,0
1911,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
1914,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,0,1,0,0
1925,1,1,0,1,1,0,1,0,0,Não,0,1,1,1,1,1,0,1,1
1926,1,1,1,0,1,0,0,0,0,Sim,1,0,1,1,0,1,1,0,0
1928,1,1,1,0,0,1,1,0,1,Não,1,1,1,1,1,0,0,1,0
1937,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
1976,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
2009,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,0,0,1,0,0
2014,1,1,1,0,0,0,0,0,0,Sim,1,0,1,1,1,1,1,0,0
2039,1,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
2060,1,1,1,1,0,0,0,1,0,Sim,1,1,1,1,1,1,1,0,0
2098,1,0,0,1,0,1,1,1,0,Sim,0,1,0,0,0,0,0,1,1
2100,1,1,1,0,1,0,0,1,0,Sim,1,1,1,1,1,1,1,0,0
2102,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
2140,0,1,0,0,0,0,0,1,0,Não,1,0,1,1,0,1,1,0,0
2145,1,1,1,0,1,0,0,0,0,Sim,1,0,1,1,1,1,1,0,0
2158,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
2164,0,0,0,1,0,1,1,0,1,Sim,0,0,1,1,1,0,1,0,0
2248,1,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
2293,1,1,1,0,0,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
2319,1,1,0,0,1,1,0,0,1,Sim,1,1,1,1,1,1,1,1,0
2325,0,0,1,1,1,0,1,1,1,Não,1,0,1,1,1,1,1,0,0
2337,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
2342,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
2346,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,1,1,0,0,0
2378,0,0,0,0,0,0,0,0,0,Não,0,0,0,0,0,0,0,0,0
2399,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
2407,1,1,1,1,1,0,0,1,0,Não,1,1,1,1,1,1,1,1,0
2408,1,0,1,0,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
2410,1,0,0,0,0,0,0,0,0,Não,0,0,1,1,1,1,1,0,0
2423,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,0,0,1,0,0
2434,1,0,1,0,1,0,0,0,0,Não,1,0,0,1,0,1,1,0,0
2442,1,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
2444,1,0,1,1,1,0,1,1,0,Sim,1,1,1,1,1,1,0,0,0
2448,0,1,0,0,0,0,0,0,0,Não,1,0,1,1,1,0,1,1,0
2452,1,0,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
2472,1,1,0,0,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
2480,1,1,1,1,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
2481,1,0,0,0,0,1,1,0,1,Não,0,1,0,0,0,0,0,0,0
2483,1,1,1,0,1,0,0,1,0,Não,1,0,1,1,1,1,1,0,0
2522,1,0,1,1,1,1,1,1,1,Sim,1,1,1,1,1,1,1,0,0
2539,0,0,0,0,0,0,0,0,0,Não,0,0,1,1,1,1,0,0,0
2561,1,1,0,0,0,0,0,0,1,Não,1,0,1,1,1,1,1,0,0
2568,1,1,0,0,0,1,1,0,1,Não,1,0,1,1,1,1,1,0,0
2579,1,1,1,1,1,0,0,1,0,Sim,1,0,1,1,1,1,1,0,0
2618,1,1,1,1,0,0,0,0,0,Não,1,0,1,1,1,1,1,0,0
