id,idade,sexo,escolaridade,estadocivil,ocupacao,tempodeservico,religiao,contatoanterior,lidadiretamente,lida.onde,materialdidatico,prazoatividades,interacaopares,organizacaocurso,import.ajud.tutor,autoavaliacao.x,part.outrocurso,pp001,pp002,pp003,pp004,pp005,pp006,pp007,pp008,pp009,pp010,pp011,pp012,pp013,pp014,pp015,pp016,pp017,pp018,pp019,pp020,pp021,pp022,pp023,pp024,pp025,pp026,pp027,pp028,pp029,pp030,pp031,pp032,pp033,pp034,pp035,pp036,pp037,aprovado,Identificação pessoal com o tema (motivopart),Identificação profissional com o tema (motivopart),Para aquisição de conhecimento na área (motivopart),Pelo fato de o curso ser gratuito (motivopart),Pelo fato de o curso estar vinculado à Universidade (motivopart),Por ser um curso à distância (motivopart),Por ser uma oportunidade de formação continuada (motivopart),Ausência da família (barreiras),Pouca comunicação com os pais (barreiras),Uso de substâncias por familiares (barreiras),Presença de drogas ilícitas no ambiente escolar (barreiras),Proximidade da rede de distribuição de drogas (barreiras),Ausência de limites dos alunos (barreiras),Ausência de colaboração da equipe escolar (barreiras),Ausência de regras no ambiente escolar (barreiras),Possuir alunos interessados na temática (facilitadores),Presença de uma equipe para trabalhar a temática (facilitadores),Estímulo aos alunos (facilitadores),Desenvolvimento de projetos na escola (facilitadores),Apoio aos projetos em desenvolvimento (facilitadores),Presença de regras no ambiente escolar (facilitadores),Promoção de compromisso e confiança (facilitadores),Valorização do ambiente escolar (facilitadores),Participação da comunidade e dos pais no trabalho de prevenção (facilitadores)
7,45,Feminino,Pós-graduação,Casado (a),Professor (a),22,Católica,Sim,Sim,Escola,Adequado,Flexível,Importante,Organizado,Sempre,"Sim, considero, porém, poderia estar me esforçando mais",Sim,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,"Nem discordo, nem concordo",Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Sim,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1
45,49,Feminino,Pós-graduação,Divorciado (a),Professor (a),19,Católica,Sim,Sim,Escola,Muito adequado,Muito flexível,Importante,Muito organizado,Sempre,"Sim, considero",Sim,Discordo totalmente,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Discordo,"Nem discordo, nem concordo",Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Discordo totalmente,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,"Nem discordo, nem concordo",Concordo,Discordo totalmente,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Concordo,Sim,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1
50,55,Masculino,Pós-graduação,Casado (a),Professor (a),29,Católica,Não,Não,Escola,Adequado,Flexível,Importante,Organizado,Sempre,"Sim, considero, porém, poderia estar me esforçando mais",Não,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente,Concordo totalmente,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo totalmente,"Nem discordo, nem concordo",Concordo,Concordo totalmente,Concordo totalmente,Discordo,Concordo,Concordo,Concordo totalmente,Discordo,Concordo,Discordo totalmente,Discordo,Concordo,Concordo,Discordo,Concordo totalmente,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Concordo,Sim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,49,Masculino,Ensino Superior Completo,Casado (a),Professor (a),10,Católica,Sim,Sim,Amigos,Adequado,Pouco flexível,Importante,Organizado,Sempre,"Sim, considero, porém, poderia estar me esforçando mais",Não,Discordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo,Concordo,Concordo totalmente,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Discordo,Concordo,"Nem discordo, nem concordo",Concordo,Concordo,Concordo,Discordo,Discordo totalmente,"Nem discordo, nem concordo",Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo totalmente,Discordo totalmente,Concordo totalmente,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,50,Masculino,Pós-graduação,Casado (a),Professor (a),18,Católica,Sim,Sim,Escola,Adequado,Flexível,Muito importante,Muito organizado,Sempre,"Não, não considero",Sim,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo,Discordo,Concordo totalmente,Concordo,Concordo totalmente,Concordo,Concordo,Concordo totalmente,Concordo,Concordo,Discordo totalmente,Concordo,Discordo,Concordo,Concordo,Concordo,Discordo totalmente,Discordo,Discordo,"Nem discordo, nem concordo",Discordo totalmente,Concordo,Concordo totalmente,Concordo,Concordo,Discordo,Discordo,Discordo totalmente,Discordo,Concordo totalmente,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,23,Feminino,Ensino Superior Completo,Solteiro (a),Professor (a),1,Católica,Não,Sim,Escola,Adequado,Flexível,Importante,Organizado,Sempre,"Sim, considero",Sim,Discordo,Concordo,Concordo totalmente,Concordo,Concordo,Concordo,Concordo,Discordo,"Nem discordo, nem concordo",Concordo,Concordo,Concordo,Concordo totalmente,"Nem discordo, nem concordo",Concordo,Concordo,Concordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,"Nem discordo, nem concordo",Concordo,Discordo totalmente,Concordo totalmente,Concordo,Concordo,Concordo,Discordo,Discordo,"Nem discordo, nem concordo",Discordo,Concordo totalmente,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,42,Feminino,Ensino Superior Completo,União Estável,Professor (a),15,Católica,Não,Sim,Amigos,Muito adequado,Flexível,Muito importante,Organizado,Sempre,"Sim, considero",Não,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,"Nem discordo, nem concordo",Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,"Nem discordo, nem concordo",Discordo,Concordo,Concordo,Concordo,Concordo,"Nem discordo, nem concordo",Discordo,"Nem discordo, nem concordo","Nem discordo, nem concordo",Concordo,Não,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
73,46,Feminino,Pós-graduação,Casado (a),Outros,28,Católica,Sim,Não,Comunidade,Adequado,Flexível,Importante,Organizado,Sempre,"Sim, considero",Não,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Discordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Discordo totalmente,Discordo totalmente,"Nem discordo, nem concordo",Concordo,Discordo totalmente,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Discordo,Concordo totalmente,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,44,Feminino,Pós-graduação,Casado (a),Professor (a),19,Católica,Sim,Não,Comunidade,Adequado,Flexível,Muito importante,Organizado,Sempre,"Sim, considero",Não,"Nem discordo, nem concordo",Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo totalmente,Concordo,Concordo,"Nem discordo, nem concordo",Concordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,"Nem discordo, nem concordo","Nem discordo, nem concordo",Concordo,Discordo,Concordo,"Nem discordo, nem concordo","Nem discordo, nem concordo","Nem discordo, nem concordo",Discordo,Discordo,Discordo,Discordo,Concordo,Não,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,42,Feminino,Ensino Superior Completo,União Estável,Professor (a),15,Católica,Não,Sim,Amigos,Muito adequado,Flexível,Muito importante,Organizado,Sempre,"Sim, considero",Não,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,"Nem discordo, nem concordo",Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,"Nem discordo, nem concordo",Discordo,Concordo,Concordo,Concordo,Concordo,"Nem discordo, nem concordo",Discordo,"Nem discordo, nem concordo","Nem discordo, nem concordo",Concordo,Sim,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1
91,40,Feminino,Ensino Superior Completo,Casado (a),Outros,12,Católica,Sim,Não,Escola,Muito adequado,Flexível,Importante,Organizado,Sempre,"Sim, considero",Não,Discordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente,Concordo,Discordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo totalmente,Concordo totalmente,Discordo,"Nem discordo, nem concordo",Concordo,Concordo,Concordo,Concordo,Discordo totalmente,Discordo,Discordo,Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Sim,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
97,50,Feminino,Pós-graduação,Casado (a),Professor (a),19,Católica,Sim,Sim,Escola,Muito adequado,Muito flexível,Importante,Muito organizado,Sempre,"Não, não considero",Não,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Discordo totalmente,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo totalmente,Discordo,"Nem discordo, nem concordo",Concordo,Discordo totalmente,Concordo,Concordo,Concordo,Concordo,Discordo totalmente,Discordo totalmente,Discordo,Discordo totalmente,Concordo,Sim,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1
